SKU,Description,Cost
SSA0D93139,SP I74790S                             ,
SSA0F66619,SP I I76700 3.4GHz/4C/8M 65W           ,
SSA0F66643,SP I I76700 3.4GHz/4C/8M 65W SR2L2     ,
SSA0F66641,SP I I7-6700K 4.0GHz/4C/8M 95W SR2L0,
SSA0F66623,SP I I76700T 2.8GHz/4C/8M 35W          ,
SSA0F66647,SP I I76700T 2.8GHz/4C/8M 35W          ,
000000C62584,SP i33250                              ,
000000C62585,SP i33250T                             ,
000000C62666,SP I34000M                             ,
000000C62679,SP i34130                              ,
000000C62682,SP i34130T                             ,
SSA0D93124,SP I34150                              ,
SSA0D93120,SP I34150T                             ,
SSA0F61390,SP i34160                              ,
SSA0F61453,SP i34170 3.7GHz/                      ,
SSA0F61455,SP i34170T 3.2GHz/                     ,
000000C62678,SP i34330                              ,
000000C62681,SP i34330T                             ,
000000C62677,SP i34340                              ,
SSA0F61393,SP i34370 3.8GHz/                      ,
SSA0F66629,SP I I36300 3.8GHz/2C/4M 65W CPU       ,
SSA0F66628,SP I I36320 3.9GHz/2C/4M 65W CPU       ,
000000C62668,SP I54200M                             ,
000000C62669,SP I54300M                             ,
SSA0D93071,SP i54440                              ,
SSA0D93070,SP i54440S                             ,
SSA0D93134,SP I54460                              ,
SSA0D93131,SP I54460S                             ,
SSA0D93128,SP I54460T                             ,
SSA0D93088,SP i54570T                             ,
SSA0D93135,SP I54590                              ,
SSA0D93129,SP I54590T                             ,
SSA0D93136,SP I54690                              ,
SSA0F66645,SP I I56500 3.2GHz/4C/6M 65W           ,
SSA0F66621,SP I I56500 3.2GHz/4C/6M 65W           ,
SSA0F66620,SP I I56600 3.3GHz/4C/6M 65W           ,
SSA0F66644,SP I I56600 3.3GHz/4C/6M 65W           ,
000000C62671,SP I74600M                             ,
SSA0D93072,SP i74771                              ,
SSA0D93137,SP I74785T                             ,
SSA0D93140,SP I74790                              ,
SSA7A23496,SP InteG4560 3.5G/2+2/3M/54W/2400       ,
SSA0M55886,SP Intel  i57400 3.0GHz/4C/6M/LGA 65W  ,
SSA0M55887,SP Intel  i57400T 2.4GHz/4C/6M/LGA 35W ,
SSA0M55882,SP Intel  i57500 3.4GHz/4C/6M/LGA 65W  ,
SSA0M55885,SP Intel  i57500T 2.7GHz/4C/6M/LGA 35W ,
SSA0M55881,SP Intel  i57600 3.5GHZ/4C/6M/LGA 65W  ,
SSA0M55884,SP Intel  i57600T 2.8GHz/4C/6M/LGA 35W ,
SSA0M55880,SP Intel  i77700 3.6GHZ/4C/8M/LGA 65W  ,
